Row	Visit ID	Site ID	WRIA Number	WRIA	Basin	Subbasin	Stream	Agency	Project	Site Code	Latitude	Longitude	Event Date	Date Released	Taxonomic Resolution	Total SqFt	Taxa Richness Quantity	Ephemeroptera Richness Quantity	Plecoptera Richness Quantity	Trichoptera Richness Quantity	EPT Richness Quantity	Clinger Richness Quantity	Long-Lived Richness Quantity	Intolerant Richness Quantity	Percent Dominant Quantity	Predator Percent Quantity	Tolerant Percent Quantity	Number of Organisms	Overall Score	Taxa Richness Score	Ephemeroptera Richness Score	Plecoptera Richness Score	Trichoptera Richness Score	Clinger Richness Score	Long-Lived Richness Score	Intolerant Richness Score	Percent Dominant Score	Predator Percent Score	Tolerant Percent Score
208	12959	155	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Issaquah Creek Subbasin	High Point Creek	King County - DNRP	Ambient Monitoring	08ISS4573	47.531946	-121.976205	7/24/2023	5/17/2024	Fine	8	42	4	3	5	12	22	9	6	34.1%	43.2%	1.1%	176	72.6	5.2	4.3	2.9	5.0	8.8	8.8	8.6	9.4	10.0	9.7
209	12674	157	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Issaquah Creek Subbasin	Holder Creek	King County - DNRP	Ambient Monitoring	08ISS4730	47.433941	-121.971913	7/13/2023	4/16/2024	Fine	8	48	9	7	7	23	23	12	7	37.6%	39.4%	5.6%	500	89.9	7.2	10.0	8.6	7.5	9.4	10.0	10.0	8.5	10.0	8.7
210	12757	158	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Issaquah Creek Subbasin	Holder Creek tributary	King County - DNRP	Ambient Monitoring	08ISS4735	47.470750	-121.964356	8/23/2023	4/1/2024	Fine	8	58	8	11	10	29	23	13	11	25.1%	23.8%	0.0%	499	99.4	10.0	10.0	10.0	10.0	9.4	10.0	10.0	10.0	10.0	10.0
211	12675	150	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Issaquah Creek Subbasin	Issaquah Creek	King County - DNRP	Ambient Monitoring	08ISS3877	47.551207	-122.046876	7/20/2023	4/1/2024	Fine	8	49	7	6	7	20	25	7	1	42.6%	21.2%	1.4%	500	75.3	7.6	8.6	7.1	7.5	10.0	6.2	1.4	7.1	10.0	9.7
212	12686	152	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Issaquah Creek Subbasin	Issaquah Creek	King County - DNRP	Ambient Monitoring	08ISS3962	47.538939	-122.042600	8/9/2023	4/1/2024	Fine	8	49	7	7	7	21	26	6	2	30.2%	19.2%	7.2%	500	77.5	7.6	8.6	8.6	7.5	10.0	5.0	2.9	10.0	9.1	8.3
213	12836	159	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Issaquah Creek Subbasin	Issaquah Creek - E Fork	King County - DNRP	Ambient Monitoring	08ISS4748	47.532008	-121.980821	8/28/2023	4/1/2024	Fine	8	42	6	5	6	17	21	9	5	69.4%	6.2%	12.4%	500	58.1	5.2	7.1	5.7	6.2	8.2	8.8	7.1	0.0	2.6	7.1
214	12676	160	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Issaquah Creek Subbasin	Issaquah Creek - E Fork	King County - DNRP	Ambient Monitoring	08ISS4884	47.525851	-121.941132	7/18/2023	4/16/2024	Fine	8	66	9	12	9	30	29	13	11	39.0%	14.2%	0.4%	500	94.6	10.0	10.0	10.0	10.0	10.0	10.0	10.0	8.1	6.6	9.9
215	12962	171	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Little Bear Creek Subbasin	Little Bear Creek	King County - DNRP	Ambient Monitoring	08LIT2585	47.758429	-122.160347	9/20/2023	5/17/2024	Fine	8	35	5	3	5	13	17	3	1	45.6%	3.8%	7.6%	500	40.8	2.8	5.7	2.9	5.0	5.9	1.2	1.4	6.3	1.4	8.2
216	12690	172	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Little Bear Creek Subbasin	Little Bear Creek	King County - DNRP	Ambient Monitoring	08LIT2602	47.839940	-122.162250	8/14/2023	4/1/2024	Fine	8	45	3	8	6	17	19	11	2	56.2%	9.0%	23.8%	500	57.2	6.2	2.9	10.0	6.2	7.1	10.0	2.9	3.5	4.0	4.5
217	12722	173	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Little Bear Creek Subbasin	Little Bear Creek	King County - DNRP	Ambient Monitoring	08LIT2603	47.844461	-122.162851	8/28/2023	5/17/2024	Fine	8	46	4	4	8	16	21	6	3	50.2%	11.2%	4.4%	500	60.6	6.6	4.3	4.3	8.8	8.2	5.0	4.3	5.1	5.1	9.0
218	12730	174	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Little Bear Creek Subbasin	Little Bear Creek	King County - DNRP	Ambient Monitoring	08LIT2682	47.763211	-122.156929	8/10/2023	5/17/2024	Fine	8	33	5	6	3	14	17	5	1	53.4%	7.4%	15.8%	500	42.2	2.1	5.7	7.1	2.5	5.9	3.8	1.4	4.2	3.2	6.3
219	12098	175	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Little Bear Creek Subbasin	Little Bear Creek	King County - DNRP	Ambient Monitoring	08LIT2685	47.778471	-122.154549	8/2/2022	2/1/2023	Fine	8	55	7	5	7	19	25	5	2	37.4%	7.8%	6.6%	500	68.5	9.7	8.6	5.7	7.5	10.0	3.8	2.9	8.5	3.4	8.5
220	12729	176	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Little Bear Creek Subbasin	Little Bear Creek	King County - DNRP	Ambient Monitoring	08LIT2692	47.811464	-122.158997	8/10/2023	4/18/2024	Fine	8	42	6	8	9	23	23	7	5	54.0%	13.2%	38.4%	500	66.3	5.2	7.1	10.0	10.0	9.4	6.2	7.1	4.1	6.1	1.1
221	12720	177	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Little Bear Creek Subbasin	Little Bear Creek	King County - DNRP	Ambient Monitoring	08LIT2781	47.790039	-122.144532	8/28/2023	4/16/2024	Fine	8	37	5	8	5	18	19	6	3	60.8%	8.4%	30.6%	500	49.3	3.4	5.7	10.0	5.0	7.1	5.0	4.3	2.2	3.7	2.9
222	12852	183	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	North Creek Subbasin	North Creek	King County - DNRP	Ambient Monitoring	08NOR1750	47.852841	-122.222496	10/4/2023	4/16/2024	Fine	8	32	6	4	6	16	18	5	3	56.2%	5.8%	2.6%	500	49.2	1.7	7.1	4.3	6.2	6.5	3.8	4.3	3.5	2.4	9.4
223	12666	187	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	North Creek Subbasin	North Creek	King County - DNRP	Ambient Monitoring	08NOR2306	47.778784	-122.187628	7/26/2023	4/16/2024	Fine	8	29	1	2	4	7	13	4	0	80.6%	2.0%	1.0%	500	22.2	0.7	0.0	1.4	3.8	3.5	2.5	0.0	0.0	0.5	9.8
224	12475	3224	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	North Creek Subbasin	North Creek	City of Bothell	Bothell Bioassesment	COB05519-013032	47.782380	-122.190419	8/5/2022	3/2/2023	Fine	8	15	1	0	4	5	8	3	0	87.0%	1.0%	4.4%	500	14.6	0.0	0.0	0.0	3.8	0.6	1.2	0.0	0.0	0.0	9.0
225	12668	186	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	North Creek Subbasin	North Creek tributary	King County - DNRP	Ambient Monitoring	08NOR2115	47.791242	-122.195243	7/26/2023	4/1/2024	Fine	8	30	3	2	5	10	9	5	1	71.6%	1.0%	10.6%	500	24.2	1.0	2.9	1.4	5.0	1.2	3.8	1.4	0.0	0.0	7.5
226	12471	3223	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	North Creek Subbasin	North Creek tributary	City of Bothell	Bothell Bioassesment	COB 5519-000744	47.795881	-122.188603	8/29/2022	3/2/2023	Fine	8	29	0	5	5	10	8	5	1	43.0%	14.0%	14.9%	114	37.2	0.7	0.0	5.7	5.0	0.6	3.8	1.4	7.0	6.5	6.5
227	12473	3222	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	North Creek Subbasin	North Creek tributary	City of Bothell	Bothell Bioassesment	COB05519-011576	47.797772	-122.226154	7/13/2022	3/2/2023	Fine	8	35	1	1	1	3	5	2	0	51.2%	5.4%	23.4%	500	14.3	2.8	0.0	0.0	0.0	0.0	0.0	0.0	4.8	2.2	4.6
228	13156	3367	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	North Creek Subbasin	North Creek tributary	City of Bothell	Bothell Bioassesment	QC-2	47.797772	-122.226150	10/3/2023	4/25/2024	Fine	8	11	1	2	1	4	3	2	0	66.7%	6.2%	20.8%	48	9.8	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.6	2.6	5.2
229	13154	2058	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	North Creek Subbasin	Palm Creek (Bothell)	City of Bothell	Bothell Bioassesment	PM-1	47.790892	-122.193664	10/3/2023	4/25/2024	Fine	8	42	3	4	5	12	16	7	3	43.5%	12.8%	34.2%	345	48.0	5.2	2.9	4.3	5.0	5.3	6.2	4.3	6.9	5.9	2.0
230	13070	1606	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Clise Creek	City of Redmond	Annual Benthos Monitoring: 2016 - Ongoing	CliseRed214	47.661469	-122.124825	8/14/2023	1/9/2024	Fine	8	47	2	2	6	10	11	4	0	40.8%	7.8%	24.6%	500	36.2	6.9	1.4	1.4	6.2	2.4	2.5	0.0	7.6	3.4	4.3
231	13180	2661	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Country Creek	City of Redmond	RPWS	CTRY-1	47.650400	-122.114900	8/16/2023	5/7/2024	Fine	8	19	1	1	1	3	5	5	0	81.2%	0.0%	5.1%	410	12.6	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0	8.8
232	13181	2662	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Country Creek	City of Redmond	RPWS	CTRY-2	47.647400	-122.119700	8/1/2023	5/7/2024	Fine	8	27	3	3	4	10	8	4	1	53.5%	6.3%	7.9%	127	29.0	0.0	2.9	2.9	3.8	0.6	2.5	1.4	4.2	2.7	8.2
233	12735	193	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Gold Creek (Sammamish)	King County - DNRP	Ambient Monitoring	08SAM2865	47.742702	-122.141764	9/13/2023	4/16/2024	Fine	8	42	3	4	7	14	12	6	2	58.6%	6.6%	43.2%	500	36.2	5.2	2.9	4.3	7.5	2.9	5.0	2.9	2.8	2.8	0.0
234	13080	1605	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	High School Creek	City of Redmond	Annual Benthos Monitoring: 2016 - Ongoing	HSRed210	47.709755	-122.124835	8/16/2023	1/9/2024	Fine	8	30	2	2	3	7	8	5	0	77.4%	2.4%	6.8%	500	19.8	1.0	1.4	1.4	2.5	0.6	3.8	0.0	0.0	0.7	8.4
235	12963	188	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Peters Creek	King County - DNRP	Ambient Monitoring	08SAM0000	47.682628	-122.143714	8/2/2023	5/17/2024	Fine	8	28	1	2	0	3	4	4	0	68.0%	1.4%	53.6%	500	4.7	0.3	0.0	1.4	0.0	0.0	2.5	0.0	0.3	0.2	0.0
236	13078	619	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Peters Creek	City of Redmond	Annual Benthos Monitoring: 2016 - Ongoing	PeteRed174	47.679738	-122.142957	8/15/2023	1/9/2024	Fine	8	23	1	1	1	3	4	3	0	55.4%	0.0%	40.7%	464	5.5	0.0	0.0	0.0	0.0	0.0	1.2	0.0	3.7	0.0	0.5
237	12664	189	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Sammamish River tributary (0068)	King County - DNRP	Ambient Monitoring	08SAM1914	47.745483	-122.211857	7/26/2023	4/18/2024	Fine	8	16	0	1	2	3	6	4	0	48.0%	24.0%	14.0%	50	26.2	0.0	0.0	0.0	1.2	0.0	2.5	0.0	5.7	10.0	6.7
238	12964	192	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Sammamish River tributary (0090)	King County - DNRP	Ambient Monitoring	08SAM2862	47.733381	-122.137220	10/5/2023	5/17/2024	Fine	8	40	3	8	7	18	18	8	4	55.8%	8.2%	0.4%	500	61.6	4.5	2.9	10.0	7.5	6.5	7.5	5.7	3.6	3.6	9.9
239	12966	197	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Sammamish River tributary (0095D)	King County - DNRP	Ambient Monitoring	08SAM3047	47.720449	-122.124316	8/23/2023	5/17/2024	Fine	8	44	3	6	4	13	14	8	1	48.2%	18.8%	8.8%	500	55.1	5.9	2.9	7.1	3.8	4.1	7.5	1.4	5.6	8.9	8.0
240	12965	196	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Sammamish River tributary (0095F)	King County - DNRP	Ambient Monitoring	08SAM3045	47.712241	-122.120570	8/23/2023	5/17/2024	Fine	8	33	3	3	4	10	12	5	1	65.9%	30.0%	51.4%	440	30.5	2.1	2.9	2.9	3.8	2.9	3.8	1.4	0.8	10.0	0.0
241	12702	190	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Sammamish River tributary (0096D)	King County - DNRP	Ambient Monitoring	08SAM2674	47.729080	-122.152560	9/18/2023	4/1/2024	Fine	8	37	5	3	3	11	11	6	2	59.4%	8.2%	35.8%	500	32.6	3.4	5.7	2.9	2.5	2.4	5.0	2.9	2.6	3.6	1.7
242	12673	191	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Sammamish River tributary (0101)	King County - DNRP	Ambient Monitoring	08SAM2855	47.696997	-122.131529	7/25/2023	4/16/2024	Fine	8	27	1	2	0	3	3	2	0	66.6%	0.4%	13.2%	494	9.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.6	0.0	6.9
243	13190	2672	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Tosh Creek	City of Redmond	RPWS	TOSH-1	47.655000	-122.118000	7/18/2023	5/7/2024	Fine	8	28	2	2	2	6	7	4	0	45.9%	4.1%	10.1%	148	22.4	0.3	1.4	1.4	1.2	0.0	2.5	0.0	6.2	1.6	7.7
244	13191	2673	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Tosh Creek	City of Redmond	RPWS	TOSH-2	47.652700	-122.118700	8/24/2023	5/7/2024	Fine	8	16	1	3	4	8	8	4	0	40.4%	9.6%	23.1%	52	26.4	0.0	0.0	2.9	3.8	0.6	2.5	0.0	7.7	4.3	4.6
245	13192	2674	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Tosh Creek	City of Redmond	RPWS	TOSH-3	47.651500	-122.125400	9/7/2023	5/7/2024	Fine	8	19	2	2	1	5	6	3	0	57.7%	5.6%	47.9%	71	9.5	0.0	1.4	1.4	0.0	0.0	1.2	0.0	3.1	2.3	0.0
246	13193	2675	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Tosh Creek	City of Redmond	RPWS	TOSH-4	47.651300	-122.125700	8/28/2023	5/7/2024	Fine	8	11	1	1	1	3	5	4	0	69.6%	2.2%	39.1%	46	4.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.6	0.9
247	13077	1711	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Valley Estates Creek	City of Redmond	Annual Benthos Monitoring: 2016 - Ongoing	VECB229	47.696299	-122.137252	8/16/2023	1/9/2024	Fine	8	26	1	2	2	5	4	5	0	57.5%	6.1%	29.3%	181	15.3	0.0	0.0	1.4	1.2	0.0	3.8	0.0	3.1	2.6	3.2
248	12474	2061	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Waynita Creek	City of Bothell	Bothell Bioassesment	WC-1	47.745099	-122.211531	7/19/2022	3/2/2023	Fine	8	25	1	2	3	6	8	4	0	68.0%	2.4%	36.6%	500	9.5	0.0	0.0	1.4	2.5	0.6	2.5	0.0	0.3	0.7	1.5
249	13079	1709	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Sammamish River Subbasin	Willows Creek	City of Redmond	Annual Benthos Monitoring: 2016 - Ongoing	WLCRK1B231	47.688290	-122.141934	8/15/2023	1/9/2024	Fine	8	44	1	1	4	6	11	5	0	42.2%	9.0%	29.4%	500	30.1	5.9	0.0	0.0	3.8	2.4	3.8	0.0	7.2	4.0	3.2
250	12871	181	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Swamp Creek Subbasin	Swamp Creek	King County - DNRP	Ambient Monitoring	08NOR1362	47.779822	-122.250431	10/4/2023	4/18/2024	Fine	8	29	4	3	7	14	17	3	1	76.4%	1.4%	1.8%	500	33.7	0.7	4.3	2.9	7.5	5.9	1.2	1.4	0.0	0.2	9.6
251	12763	182	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Swamp Creek Subbasin	Swamp Creek	King County - DNRP	Ambient Monitoring	08NOR1370	47.770053	-122.244606	8/30/2023	4/18/2024	Fine	8	49	4	3	6	13	24	8	1	36.6%	4.2%	8.6%	500	58.3	7.6	4.3	2.9	6.2	10.0	7.5	1.4	8.8	1.6	8.0
252	12960	167	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	Tibbetts Creek Subbasin	Tibbetts Creek - Lower	King County - DNRP	Ambient Monitoring	08LAK3699	47.541782	-122.064195	7/24/2023	5/17/2024	Fine	8	40	3	5	4	12	12	3	1	67.2%	7.6%	51.6%	500	26.2	4.5	2.9	5.7	3.8	2.9	1.2	1.4	0.5	3.3	0.0
253	12802	162	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	W Lake Sammamish Subbasin	Idylwood Creek	King County - DNRP	Ambient Monitoring	08LAK3121	47.641052	-122.106516	8/15/2023	4/1/2024	Fine	8	21	1	1	0	2	6	4	0	68.3%	2.7%	29.5%	183	6.7	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.2	0.9	3.1
254	13069	613	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	W Lake Sammamish Subbasin	Idylwood Creek	City of Redmond	Annual Benthos Monitoring: 2016 - Ongoing	IdylRed168	47.643183	-122.102326	8/14/2023	1/9/2024	Fine	8	37	1	2	1	4	7	3	0	48.8%	0.8%	49.0%	500	11.6	3.4	0.0	1.4	0.0	0.0	1.2	0.0	5.5	0.0	0.0
255	12777	3107	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	W Lake Sammamish Subbasin	Idylwood Creek	City of Bellevue	Macroinvertebrates	IdylwoodArdmore_21	47.635220	-122.111150	7/26/2023	3/20/2024	Fine	8	37	2	1	1	4	5	3	0	47.2%	6.0%	38.5%	252	15.6	3.4	1.4	0.0	0.0	0.0	1.2	0.0	5.9	2.5	1.0
256	12889	3092	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	W Lake Sammamish Subbasin	Lewis Creek (Lake Sammamish)	City of Bellevue	Macroinvertebrates	LewisBelowLakemont_21	47.558020	-122.113070	8/7/2023	3/20/2024	Fine	8	32	2	3	4	9	13	9	0	67.0%	4.0%	24.4%	500	28.4	1.7	1.4	2.9	3.8	3.5	8.8	0.0	0.5	1.5	4.3
257	12890	576	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	W Lake Sammamish Subbasin	Lewis Creek (Lake Sammamish)	City of Bellevue	Macroinvertebrates	LewisBelRM0.3	47.567000	-122.093000	8/2/2023	3/20/2024	Fine	8	42	3	4	4	11	15	4	0	38.5%	5.4%	6.2%	499	42.3	5.2	2.9	4.3	3.8	4.7	2.5	0.0	8.2	2.2	8.6
258	12781	575	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	W Lake Sammamish Subbasin	Lewis Creek (Lake Sammamish)	City of Bellevue	Macroinvertebrates	LewisBelRM0.8	47.562000	-122.099000	8/7/2023	3/20/2024	Fine	8	39	4	6	4	14	15	7	1	48.6%	5.6%	14.6%	500	46.1	4.1	4.3	7.1	3.8	4.7	6.2	1.4	5.5	2.3	6.6
259	12780	1941	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	W Lake Sammamish Subbasin	Lewis Creek (Lake Sammamish)	City of Bellevue	Macroinvertebrates	LewisBelRM2.1	47.557500	-122.114800	8/7/2023	3/20/2024	Fine	8	44	3	5	7	15	17	9	1	36.4%	7.4%	11.2%	500	57.4	5.9	2.9	5.7	7.5	5.9	8.8	1.4	8.8	3.2	7.4
260	12724	161	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	W Lake Sammamish Subbasin	Vasa Creek	King County - DNRP	Ambient Monitoring	08LAK2827	47.578488	-122.113038	8/21/2023	4/1/2024	Fine	8	24	1	4	3	8	8	2	0	57.0%	10.1%	36.2%	337	16.7	0.0	0.0	4.3	2.5	0.6	0.0	0.0	3.2	4.6	1.6
261	12775	1649	8	WRIA 8 - Cedar-Sammamish	Sammamish River Basin	W Lake Sammamish Subbasin	Vasa Creek	City of Bellevue	Macroinvertebrates	VasaRM1.9	47.565960	-122.137434	7/25/2023	3/20/2024	Fine	8	30	2	3	3	8	7	6	0	75.6%	6.2%	12.4%	500	22.5	1.0	1.4	2.9	2.5	0.0	5.0	0.0	0.0	2.6	7.1
262	12820	210	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Black River Subbasin	Garrison Creek - S Fork	King County - DNRP	Ambient Monitoring	09BLA0722	47.407005	-122.216196	8/7/2023	4/18/2024	Fine	8	39	2	4	5	11	10	2	0	45.9%	13.7%	14.2%	366	35.9	4.1	1.4	4.3	5.0	1.8	0.0	0.0	6.2	6.4	6.7
263	12819	208	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Black River Subbasin	Mill Creek (Kent)	King County - DNRP	Ambient Monitoring	09BLA0675	47.381499	-122.221081	8/7/2023	4/18/2024	Fine	8	31	2	4	1	7	8	2	0	65.4%	4.4%	10.0%	500	18.0	1.4	1.4	4.3	0.0	0.6	0.0	0.0	1.0	1.7	7.7
264	12794	209	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Black River Subbasin	Mill Creek (Kent)	King County - DNRP	Ambient Monitoring	09BLA0716	47.382722	-122.223995	8/14/2023	4/16/2024	Fine	8	34	2	3	5	10	14	5	0	55.4%	3.0%	14.2%	500	30.9	2.4	1.4	2.9	5.0	4.1	3.8	0.0	3.7	1.0	6.7
265	12175	211	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Black River Subbasin	Mill Creek (Kent)	King County - DNRP	Ambient Monitoring	09BLA0756	47.369338	-122.208823	9/6/2022	3/13/2023	Fine	8	39	3	4	4	11	6	3	0	59.1%	8.6%	19.4%	499	28.2	4.1	2.9	4.3	3.8	0.0	1.2	0.0	2.7	3.8	5.5
266	12817	213	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Black River Subbasin	Panther Creek (Black River)	King County - DNRP	Ambient Monitoring	09BLA0771	47.442177	-122.207574	8/17/2023	5/17/2024	Fine	8	34	4	3	3	10	10	5	1	61.2%	8.0%	9.6%	500	32.4	2.4	4.3	2.9	2.5	1.8	3.8	1.4	2.1	3.5	7.8
267	12821	214	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Black River Subbasin	Panther Creek (Black River)	King County - DNRP	Ambient Monitoring	09BLA0772	47.445022	-122.211052	8/7/2023	4/18/2024	Fine	8	33	2	2	4	8	9	5	0	66.6%	2.6%	25.2%	500	19.2	2.1	1.4	1.4	3.8	1.2	3.8	0.0	0.6	0.8	4.1
268	12269	212	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Black River Subbasin	Springbrook Creek (Black River)	King County - DNRP	Ambient Monitoring	09BLA0768	47.428348	-122.214069	9/21/2022	2/1/2023	Fine	8	42	5	5	5	15	15	5	2	45.0%	18.2%	19.0%	500	53.6	5.2	5.7	5.7	5.0	4.7	3.8	2.9	6.5	8.6	5.6
269	12970	216	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Black River Subbasin	Springbrook Creek tributary (0006B)	King County - DNRP	Ambient Monitoring	09BLA0817	47.466040	-122.207183	7/20/2023	5/17/2024	Fine	8	18	1	1	0	2	4	1	0	72.2%	0.0%	58.2%	500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
270	12797	225	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Coal Creek (Green) Subbasin	Coal Creek (Green River)	King County - DNRP	Ambient Monitoring	09DEE2208	47.266907	-121.916937	9/13/2023	4/16/2024	Fine	8	54	8	9	8	25	28	9	6	40.4%	8.2%	10.0%	500	84.4	9.3	10.0	10.0	8.8	10.0	8.8	8.6	7.7	3.6	7.7
271	12862	228	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Coal Creek (Green) Subbasin	Coal Creek (Green River)	King County - DNRP	Ambient Monitoring	09DEE2294	47.275939	-121.894775	10/5/2023	4/16/2024	Fine	8	53	10	8	9	27	27	7	10	36.2%	11.6%	0.2%	500	89.3	9.0	10.0	10.0	10.0	10.0	6.2	10.0	8.9	5.3	10.0
272	12791	217	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Covington Creek Subbasin	Covington Creek	King County - DNRP	Ambient Monitoring	09COV1165	47.319190	-122.119050	8/17/2023	4/18/2024	Fine	8	45	8	8	7	23	26	9	6	54.4%	12.6%	0.4%	500	80.7	6.2	10.0	10.0	7.5	10.0	8.8	8.6	3.9	5.8	9.9
273	12799	218	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Covington Creek Subbasin	Covington Creek	King County - DNRP	Ambient Monitoring	09COV1418	47.309330	-122.077692	9/13/2023	4/1/2024	Fine	8	51	11	7	5	23	26	4	6	47.8%	4.4%	6.2%	496	68.9	8.3	10.0	8.6	5.0	10.0	2.5	8.6	5.7	1.7	8.6
274	12835	220	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Covington Creek Subbasin	Covington Creek	King County - DNRP	Ambient Monitoring	09COV1756	47.328770	-122.022072	9/11/2023	4/18/2024	Fine	8	46	5	9	7	21	20	9	6	47.8%	7.2%	3.2%	500	72.8	6.6	5.7	10.0	7.5	7.6	8.8	8.6	5.7	3.1	9.3
275	13522	3454	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Covington Creek Subbasin	Covington Creek	Washington State Department of Ecology	TMDL Biological Monitoring of Soos Creek watershed	EFF755XX-CO01.5	47.312395	-122.107782	9/19/2023	8/21/2024	Fine	8	66	10	8	7	25	26	4	6	33.0%	3.2%	2.6%	500	78.8	10.0	10.0	10.0	7.5	10.0	2.5	8.6	9.7	1.1	9.4
276	13523	3455	9	WRIA 9 - Duwamish-Green	Duwamish - Green River Basin	Covington Creek Subbasin	Covington Creek	Washington State Department of Ecology	TMDL Biological Monitoring of Soos Creek watershed	EFF755XX-CO02.2	47.312350	-122.096581	9/27/2023	8/21/2024	Fine	8	79	6	10	12	28	29	11	4	27.0%	9.8%	2.4%	500	86.7	10.0	7.1	10.0	10.0	10.0	10.0	5.7	10.0	4.4	9.4
